1	NC_000001.11
KI270552.1	NT_187281.1
KI270557.1	NT_187282.1
KI270571.1	NT_187286.1
KI270572.1	NT_187287.1
KI270573.1	NT_187288.1
KI270574.1	NT_187289.1
KI270575.1	NT_187290.1
KI270577.1	NT_187291.1
KI270578.1	NT_187292.1
KI270579.1	NT_187450.1
KI270580.1	NT_187448.1
KI270581.1	NT_187449.1
KI270582.1	NT_187454.1
KI270583.1	NT_187446.1
KI270584.1	NT_187453.1
KI270585.1	NT_187293.1
KI270586.1	NT_187294.1
KI270587.1	NT_187447.1
KI270588.1	NT_187455.1
KI270589.1	NT_187451.1
KI270590.1	NT_187452.1
KI270591.1	NT_187457.1
KI270592.1	NT_187295.1
KI270593.1	NT_187456.1
KI270595.1	NT_187296.1
KI270596.1	NT_187297.1
KI270597.1	NT_187298.1
KI270598.1	NT_187299.1
KI270599.1	NT_187300.1
KI270600.1	NT_187301.1
KI270601.1	NT_187302.1
KI270602.1	NT_187303.1
KI270603.1	NT_187304.1
KI270604.1	NT_187305.1
KI270605.1	NT_187306.1
KI270606.1	NT_187307.1
KI270607.1	NT_187308.1
KI270608.1	NT_187309.1
KI270609.1	NT_187310.1
KI270610.1	NT_187311.1
KI270611.1	NT_187312.1
KI270612.1	NT_187313.1
KI270613.1	NT_187314.1
KI270614.1	NT_187315.1
KI270615.1	NT_187316.1
KI270616.1	NT_187317.1
KI270617.1	NT_187318.1
KI270618.1	NT_187319.1
KI270619.1	NT_187320.1
KI270620.1	NT_187321.1
KI270626.1	NT_187322.1
KI270627.1	NT_187323.1
KI270628.1	NT_187324.1
KI270630.1	NT_187325.1
KI270632.1	NT_187326.1
KI270633.1	NT_187327.1
KI270634.1	NT_187328.1
KI270637.1	NT_187329.1
KI270651.1	NT_187332.1
KI270656.1	NT_187333.1
KI270657.1	NT_187334.1
KI270658.1	NT_187335.1
KI270659.1	NT_187336.1
KI270660.1	NT_187337.1
KI270661.1	NT_187338.1
